Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,337,118,4,4.5,4.5,9.65,1,HIGH
2,324,107,4,4,4.5,8.87,1,HIGH
3,316,104,3,3,3.5,8,1,HIGH
4,322,110,3,3.5,2.5,8.67,1,HIGH
5,314,103,2,2,3,8.21,0,HIGH
6,330,115,5,4.5,3,9.34,1,HIGH
7,321,109,3,3,4,8.2,1,HIGH
8,308,101,2,3,4,7.9,0,HIGH
9,302,102,1,2,1.5,8,0,LOW
10,323,108,3,3.5,3,8.6,0,LOW
11,325,106,3,3.5,4,8.4,1,HIGH
12,327,111,4,4,4.5,9,1,HIGH
13,328,112,4,4,4.5,9.1,1,HIGH
14,307,109,3,4,3,8,1,HIGH
15,311,104,3,3.5,2,8.2,1,HIGH
16,314,105,3,3.5,2.5,8.3,0,HIGH
17,317,107,3,4,3,8.7,0,HIGH
18,319,106,3,4,3,8,1,HIGH
19,318,110,3,4,3,8.8,0,HIGH
20,303,102,3,3.5,3,8.5,0,HIGH
21,312,107,3,3,2,7.9,1,HIGH
22,325,114,4,3,2,8.4,0,HIGH
23,328,116,5,5,5,9.5,1,HIGH
24,334,119,5,5,4.5,9.7,1,HIGH
25,336,119,5,4,3.5,9.8,1,HIGH
26,340,120,5,4.5,4.5,9.6,1,HIGH
27,322,109,5,4.5,3.5,8.8,0,HIGH
28,298,98,2,1.5,2.5,7.5,1,LOW
29,295,93,1,2,2,7.2,0,LOW
30,310,99,2,1.5,2,7.3,0,HIGH
31,300,97,2,3,3,8.1,1,HIGH
32,327,103,3,4,4,8.3,1,HIGH
33,338,118,4,3,4.5,9.4,1,HIGH
34,340,114,5,4,4,9.6,1,HIGH
35,331,112,5,4,5,9.8,1,HIGH
36,320,110,5,5,5,9.2,1,HIGH
37,299,106,2,4,4,8.4,0,HIGH
38,300,105,1,1,2,7.8,0,HIGH
39,304,105,1,3,1.5,7.5,0,HIGH
40,307,108,2,4,3.5,7.7,0,LOW
41,308,110,3,3.5,3,8,1,LOW
42,316,105,2,2.5,2.5,8.2,1,LOW
43,313,107,2,2.5,2,8.5,1,HIGH
44,332,117,4,4.5,4,9.1,0,HIGH
45,326,113,5,4.5,4,9.4,1,HIGH
46,322,110,5,5,4,9.1,1,HIGH
47,329,114,5,4,5,9.3,1,HIGH
48,339,119,5,4.5,4,9.7,0,HIGH
49,321,110,3,3.5,5,8.85,1,HIGH
50,327,111,4,3,4,8.4,1,HIGH
51,313,98,3,2.5,4.5,8.3,1,HIGH
52,312,100,2,1.5,3.5,7.9,1,HIGH
53,334,116,4,4,3,8,1,HIGH
54,324,112,4,4,2.5,8.1,1,HIGH
55,322,110,3,3,3.5,8,0,HIGH
56,320,103,3,3,3,7.7,0,HIGH
57,316,102,3,2,3,7.4,0,HIGH
58,298,99,2,4,2,7.6,0,LOW
59,300,99,1,3,2,6.8,1,LOW
60,311,104,2,2,2,8.3,0,LOW
61,309,100,2,3,3,8.1,0,LOW
62,307,101,3,4,3,8.2,0,LOW
63,304,105,2,3,3,8.2,1,HIGH
64,315,107,2,4,3,8.5,1,HIGH
65,325,111,3,3,3.5,8.7,0,HIGH
66,325,112,4,3.5,3.5,8.92,0,HIGH
67,327,114,3,3,3,9.02,0,HIGH
68,316,107,2,3.5,3.5,8.64,1,HIGH
69,318,109,3,3.5,4,9.22,1,HIGH
70,328,115,4,4.5,4,9.16,1,HIGH
71,332,118,5,5,5,9.64,1,HIGH
72,336,112,5,5,5,9.76,1,HIGH
73,321,111,5,5,5,9.45,1,HIGH
74,314,108,4,4.5,4,9.04,1,HIGH
75,314,106,3,3,5,8.9,0,HIGH
76,329,114,2,2,4,8.56,1,HIGH
77,327,112,3,3,3,8.72,1,HIGH
78,301,99,2,3,2,8.22,0,HIGH
79,296,95,2,3,2,7.54,1,LOW
80,294,93,1,1.5,2,7.36,0,LOW
81,312,105,3,2,3,8.02,1,LOW
82,340,120,4,5,5,9.5,1,HIGH
83,320,110,5,5,4.5,9.22,1,HIGH
84,322,115,5,4,4.5,9.36,1,HIGH
85,340,115,5,4.5,4.5,9.45,1,HIGH
86,319,103,4,4.5,3.5,8.66,0,HIGH
87,315,106,3,4.5,3.5,8.42,0,HIGH
88,317,107,2,3.5,3,8.28,0,HIGH
89,314,108,3,4.5,3.5,8.14,0,HIGH
90,316,109,4,4.5,3.5,8.76,1,HIGH
91,318,106,2,4,4,7.92,1,HIGH
92,299,97,3,5,3.5,7.66,0,LOW
93,298,98,2,4,3,8.03,0,LOW
94,301,97,2,3,3,7.88,1,LOW
95,303,99,3,2,2.5,7.66,0,LOW
96,304,100,4,1.5,2.5,7.84,0,LOW
97,306,100,2,3,3,8,0,LOW
98,331,120,3,4,4,8.96,1,HIGH
99,332,119,4,5,4.5,9.24,1,HIGH
100,323,113,3,4,4,8.88,1,HIGH
101,322,107,3,3.5,3.5,8.46,1,HIGH
102,312,105,2,2.5,3,8.12,0,HIGH
103,314,106,2,4,3.5,8.25,0,HIGH
104,317,104,2,4.5,4,8.47,0,HIGH
105,326,112,3,3.5,3,9.05,1,HIGH
106,316,110,3,4,4.5,8.78,1,HIGH
107,329,111,4,4.5,4.5,9.18,1,HIGH
108,338,117,4,3.5,4.5,9.46,1,HIGH
109,331,116,5,5,5,9.38,1,HIGH
110,304,103,5,5,4,8.64,0,HIGH
111,305,108,5,3,3,8.48,0,HIGH
112,321,109,4,4,4,8.68,1,HIGH
113,301,107,3,3.5,3.5,8.34,1,HIGH
114,320,110,2,4,3.5,8.56,0,HIGH
115,311,105,3,3.5,3,8.45,1,HIGH
116,310,106,4,4.5,4.5,9.04,1,HIGH
117,299,102,3,4,3.5,8.62,0,HIGH
118,290,104,4,2,2.5,7.46,0,LOW
119,296,99,2,3,3.5,7.28,0,LOW
120,327,104,5,3,3.5,8.84,1,HIGH
121,335,117,5,5,5,9.56,1,HIGH
122,334,119,5,4.5,4.5,9.48,1,HIGH
123,310,106,4,1.5,2.5,8.36,0,HIGH
124,308,108,3,3.5,3.5,8.22,0,HIGH
125,301,106,4,2.5,3,8.47,0,HIGH
126,300,100,3,2,3,8.66,1,HIGH
127,323,113,3,4,3,9.32,1,HIGH
128,319,112,3,2.5,2,8.71,1,HIGH
129,326,112,3,3.5,3,9.1,1,HIGH
130,333,118,5,5,5,9.35,1,HIGH
131,339,114,5,4,4.5,9.76,1,HIGH
132,303,105,5,5,4.5,8.65,0,HIGH
133,309,105,5,3.5,3.5,8.56,0,HIGH
134,323,112,5,4,4.5,8.78,0,HIGH
135,333,113,5,4,4,9.28,1,HIGH
136,314,109,4,3.5,4,8.77,1,HIGH
137,312,103,3,5,4,8.45,0,HIGH
138,316,100,2,1.5,3,8.16,1,HIGH
139,326,116,2,4.5,3,9.08,1,HIGH
140,318,109,1,3.5,3.5,9.12,0,HIGH
141,329,110,2,4,3,9.15,1,HIGH
142,332,118,2,4.5,3.5,9.36,1,HIGH
143,331,115,5,4,3.5,9.44,1,HIGH
144,340,120,4,4.5,4,9.92,1,HIGH
145,325,112,2,3,3.5,8.96,1,HIGH
146,320,113,2,2,2.5,8.64,1,HIGH
147,315,105,3,2,2.5,8.48,0,HIGH
148,326,114,3,3,3,9.11,1,HIGH
149,339,116,4,4,3.5,9.8,1,HIGH
150,311,106,2,3.5,3,8.26,1,HIGH
151,334,114,4,4,4,9.43,1,HIGH
152,332,116,5,5,5,9.28,1,HIGH
153,321,112,5,5,5,9.06,1,HIGH
154,324,105,3,3,4,8.75,0,HIGH
155,326,108,3,3,3.5,8.89,0,HIGH
156,312,109,3,3,3,8.69,0,HIGH
157,315,105,3,2,2.5,8.34,0,HIGH
158,309,104,2,2,2.5,8.26,0,HIGH
159,306,106,2,2,2.5,8.14,0,HIGH
160,297,100,1,1.5,2,7.9,0,HIGH
161,315,103,1,1.5,2,7.86,0,HIGH
162,298,99,1,1.5,3,7.46,0,HIGH
163,318,109,3,3,3,8.5,0,HIGH
164,317,105,3,3.5,3,8.56,0,HIGH
165,329,111,4,4.5,4,9.01,1,HIGH
166,322,110,5,4.5,4,8.97,0,HIGH
167,302,102,3,3.5,5,8.33,0,HIGH
168,313,102,3,2,3,8.27,0,HIGH
169,293,97,2,2,4,7.8,1,HIGH
170,311,99,2,2.5,3,7.98,0,HIGH
171,312,101,2,2.5,3.5,8.04,1,HIGH
172,334,117,5,4,4.5,9.07,1,HIGH
173,322,110,4,4,5,9.13,1,HIGH
174,323,113,4,4,4.5,9.23,1,HIGH
175,321,111,4,4,4,8.97,1,HIGH
